X,Y,OBJECTID,Id,CaseNumber,OccurredDate,OccurredMonth,OccurredYear,DateOfDeath,DateOfDeathMonth,DateOfDeathYear,DateDifference,CaseStatus,Address,Latitude,Longitude,Section,Beat,WeaponCategory,VictimCount,ArresteeCount
-77.648292786753956,43.145574572449732,172,64,01-282700,2001-08-14T04:00:00.000Z,8,2001,2001-08-14T04:00:00.000Z,8,2001,0,CLOSED,"35 POST AVE, ROCHESTER, NY, 14611",43.145566,-77.64829,Genesee,223,Firearm,1,1
-77.632697782527003,43.160151575491028,171,65,01-287571,2001-08-18T04:00:00.000Z,8,2001,2001-08-18T04:00:00.000Z,8,2001,0,CLOSED,"291 SAXTON ST, ROCHESTER, NY, 14606",43.160143,-77.632695,Lake,291,Firearm,1,1
-77.627883780671326,43.152019574109623,170,66,01-294368,2001-08-23T04:00:00.000Z,8,2001,2001-08-23T04:00:00.000Z,8,2001,0,OPEN,"567 MAIN ST WEST, ROCHESTER, NY, 14608",43.152011,-77.627881,Genesee,213,Firearm,1,
-77.609602776634873,43.17972158040665,169,67,01-307150,2001-09-01T04:00:00.000Z,9,2001,2001-09-01T04:00:00.000Z,9,2001,0,OPEN,"38 DALE ST, ROCHESTER, NY, 14621",43.179713,-77.6096,Clinton,247,Firearm,1,
-77.612698776568266,43.1738845785205,168,68,01-308204,2001-09-01T04:00:00.000Z,9,2001,2001-09-01T04:00:00.000Z,9,2001,0,OPEN,"840 CLINTON AVE NORTH, ROCHESTER, NY, 14605",43.173876,-77.612696,Clinton,277,Firearm,1,
-77.638423785671094,43.181827579404782,167,69,01-318132,2001-09-09T04:00:00.000Z,9,2001,2001-09-09T04:00:00.000Z,9,2001,0,OPEN,"234 SELYE TER, ROCHESTER, NY, 14613",43.181819,-77.638421,Lake,231,Firearm,1,
-77.640062784204034,43.152245573778686,166,70,01-332049,2001-09-19T04:00:00.000Z,9,2001,2001-09-19T04:00:00.000Z,9,2001,0,CLOSED,"104 HORTENSE ST, ROCHESTER, NY, 14611",43.152237,-77.64006,Genesee,203,Other,1,1
-77.612050776637645,43.176259578946457,165,71,01-336778,2001-09-23T04:00:00.000Z,9,2001,2001-09-23T04:00:00.000Z,9,2001,0,CLOSED,"43 MEAD ST, ROCHESTER, NY, 14621",43.176251,-77.612048,Clinton,247,Firearm,1,1
-77.626284778739105,43.146091573241037,164,72,01-343355,2001-09-28T04:00:00.000Z,9,2001,2001-09-28T04:00:00.000Z,9,2001,0,OPEN,"165 REYNOLDS ST, ROCHESTER, NY, 14608",43.146083,-77.626282,Genesee,233,Firearm,1,
-77.599712771245422,43.156703576301723,612,274,01-349376,2001-10-04T04:00:00.000Z,10,2001,2006-02-13T05:00:00.000Z,2,2006,1593,OPEN,"170 EAST AVE, ROCHESTER, NY, 14604",43.156695,-77.59971,Central,219,Firearm,1,
-77.650779786085067,43.133240570299847,163,73,01-354803,2001-10-08T04:00:00.000Z,10,2001,2001-10-09T04:00:00.000Z,10,2001,1,OPEN,"584 THURSTON RD, ROCHESTER, NY, 14619",43.133232,-77.650777,Genesee,243,Firearm,2,
-77.634423780659944,43.124101569365273,162,74,01-391824,2001-11-08T05:00:00.000Z,11,2001,2001-11-08T05:00:00.000Z,11,2001,0,CLOSED,"133 ELMWOOD AVE, ROCHESTER, NY, 14611",43.124093,-77.634421,Genesee,243,Other,1,1
-77.591540770266874,43.172750579346356,161,75,01-413471,2001-11-28T05:00:00.000Z,11,2001,2001-11-28T05:00:00.000Z,11,2001,0,OPEN,"46 COUNCIL ST, ROCHESTER, NY, 14605",43.172742,-77.591538,Clinton,267,Firearm,1,
